student_id,gender,class,study_hours_per_week,attendance_percent,math_score,science_score,english_score,parent_education
S1404,Female,10C,11.7,84.7,58.6,51.7,56.6,Bachelors
S1405,Female,10B,10.8,100.0,73.8,64.6,53.0,Masters
S1406,Female,10B,11.1,79.9,58.9,56.0,66.1,Bachelors
S1407,Female,10C,4.9,90.1,48.8,48.1,55.7,Bachelors
S1408,Female,10C,5.7,81.0,43.4,48.2,41.1,High School
S1409,Female,10B,14.2,78.8,64.1,55.9,54.6,PhD
S1410,Male,10C,9.8,91.0,60.9,61.8,68.4,High School
S1411,Female,10A,12.7,76.5,64.4,45.3,50.3,High School
S1412,Female,10A,10.1,83.2,71.0,65.0,60.2,Bachelors
S1413,Male,10B,10.1,83.9,50.0,60.8,65.8,Bachelors
S1414,Male,10D,13.8,72.0,84.8,79.6,80.5,Bachelors
S1415,Male,10B,7.9,91.9,50.0,72.2,50.4,Bachelors
S1416,Male,10B,10.4,77.9,49.2,53.6,52.8,Masters
S1417,Female,10D,8.2,70.9,38.3,30.7,30.6,High School
S1418,Female,10D,8.3,86.4,52.9,40.3,47.5,Masters
S1419,Female,10D,8.8,69.2,55.7,26.3,43.4,Bachelors
S1420,Female,10A,10.9,80.3,65.1,61.0,64.7,Bachelors
S1421,Female,10C,8.1,79.9,55.2,51.3,58.4,Bachelors
S1422,Female,10A,15.0,93.0,65.3,67.5,72.6,High School
S1423,Male,10C,6.4,85.7,62.8,54.1,57.4,Masters
S1424,Female,10A,9.3,79.7,49.3,50.6,44.2,Bachelors
S1425,Male,10C,8.2,89.8,68.4,53.8,60.3,High School
S1426,Male,10A,15.8,96.7,92.5,100.0,100.0,Bachelors
S1427,Female,10D,10.8,86.7,71.8,66.9,62.8,PhD
S1428,Male,10B,14.1,80.1,69.1,76.1,63.0,Bachelors
S1429,Female,10A,4.1,64.3,31.4,33.7,31.3,PhD
S1430,Male,10C,11.1,67.2,42.4,40.3,37.1,High School
S1431,Female,10D,13.6,76.3,55.1,61.0,52.9,High School
S1432,Male,10A,10.3,72.7,49.8,55.5,59.9,High School
S1433,Female,10A,14.3,77.8,52.4,47.4,72.9,Bachelors
S1434,Female,10D,7.9,80.7,53.6,49.3,52.2,High School
S1435,Female,10A,15.6,86.4,78.8,79.2,68.8,High School
S1436,Female,10B,19.2,79.2,80.6,77.6,68.6,Masters
S1437,Female,10A,8.5,85.8,60.4,41.9,51.9,Masters
S1438,Male,10B,8.2,80.8,54.1,53.9,60.8,Masters
S1439,Male,10B,15.8,56.3,69.6,75.8,68.4,High School
S1440,Male,10D,16.3,68.7,53.0,67.0,59.5,High School
S1441,Female,10A,7.9,78.3,60.0,62.0,58.8,High School
S1442,Male,10D,8.3,65.5,50.3,51.9,39.6,Masters
S1443,Female,10A,8.9,87.2,62.4,55.1,62.3,PhD
S1444,Female,10A,4.6,98.4,54.8,46.3,62.0,Bachelors
S1445,Male,10C,6.3,94.6,55.0,49.9,46.2,High School
S1446,Male,10A,6.0,77.4,44.5,63.0,63.1,Bachelors
S1447,Female,10D,6.9,97.9,56.6,57.1,62.2,High School
S1448,Male,10B,9.9,81.8,57.9,51.1,61.0,Bachelors
S1449,Female,10A,10.9,76.0,64.0,58.7,52.5,Bachelors
S1450,Female,10C,16.2,72.6,63.4,71.8,52.2,Masters
S1451,Female,10D,6.0,76.4,46.7,56.2,45.5,High School
S1452,Female,10A,13.9,75.3,64.6,77.9,67.6,High School
S1453,Female,10D,9.1,82.0,49.9,52.9,64.7,PhD
S1454,Male,10C,9.8,81.9,60.4,58.0,60.5,High School
S1455,Male,10C,12.7,80.0,51.2,39.6,47.2,High School
S1456,Female,10D,5.5,85.2,46.4,52.3,37.3,High School
S1457,Female,10A,11.5,94.3,64.1,60.2,74.6,High School
S1458,Male,10B,10.7,91.4,51.7,65.9,58.8,Bachelors
S1459,Male,10C,12.0,62.2,53.2,40.1,56.4,Masters
S1460,Female,10A,11.2,49.4,55.0,54.4,56.2,High School
S1461,Male,10A,19.8,91.2,73.9,74.0,88.6,Bachelors
S1462,Female,10B,7.4,63.6,55.9,48.0,55.8,Bachelors
S1463,Male,10C,7.9,77.3,51.7,50.9,53.3,Bachelors
S1464,Female,10C,7.5,66.0,46.3,36.7,36.9,Masters
S1465,Male,10A,7.8,58.4,60.8,62.1,55.0,Masters
S1466,Female,10A,7.5,86.5,47.9,37.2,46.4,High School
S1467,Male,10B,14.8,89.1,71.8,81.3,80.5,Masters
S1468,Male,10B,15.7,73.1,83.8,83.8,72.9,Bachelors
S1469,Female,10C,7.7,48.9,35.0,30.4,32.5,PhD
S1470,Male,10D,6.7,73.4,55.0,52.9,57.7,Bachelors
S1471,Female,10C,11.9,84.7,62.5,60.2,48.9,PhD
S1472,Male,10A,7.8,62.3,36.1,53.8,49.5,Masters
S1473,Female,10C,12.5,82.2,68.7,67.4,60.3,High School
S1474,Male,10D,10.8,79.8,51.7,54.7,50.9,Bachelors
S1475,Female,10B,3.9,87.0,42.9,53.9,40.9,PhD
S1476,Male,10D,16.2,81.4,70.3,72.8,68.6,Masters
S1477,Female,10D,17.2,68.3,63.0,60.4,48.2,High School
S1478,Male,10D,7.5,94.4,63.2,69.4,62.7,Masters
S1479,Female,10B,8.4,78.1,48.1,37.1,50.7,High School
S1480,Female,10D,11.1,79.7,64.7,62.9,64.7,High School
S1481,Female,10D,11.3,68.8,54.5,59.5,65.9,Bachelors
S1482,Male,10D,12.6,74.7,46.0,55.9,55.1,High School
S1483,Female,10A,18.0,69.4,76.9,76.8,70.3,Masters
S1484,Male,10D,9.3,77.9,44.6,41.7,45.1,High School
S1485,Female,10B,6.8,100.0,52.0,58.0,48.1,Masters
S1486,Male,10D,4.5,63.5,35.1,21.7,42.9,High School
S1487,Female,10D,7.1,60.6,51.2,44.7,59.1,High School
S1488,Male,10B,9.9,97.7,81.0,74.1,64.2,High School
S1489,Male,10D,17.2,77.5,93.9,79.7,79.0,High School
S1490,Female,10B,7.9,72.0,41.9,38.4,42.4,High School
S1491,Male,10D,10.9,92.5,54.6,58.6,56.8,High School
S1492,Male,10B,9.9,72.7,37.9,42.1,43.4,Bachelors
S1493,Female,10D,14.8,100.0,72.1,69.4,66.2,High School
S1494,Male,10D,20.0,88.1,87.2,79.5,100.0,Bachelors
S1495,Male,10A,7.9,74.1,56.6,49.6,69.5,Bachelors
S1496,Male,10A,8.0,100.0,52.2,46.5,51.4,Masters
S1497,Female,10D,14.2,72.7,59.5,62.6,66.0,Masters
S1498,Male,10D,12.7,88.9,67.3,50.6,73.7,Bachelors
S1499,Female,10C,17.4,83.6,74.6,76.2,75.8,High School
S1000,Male,10C,11.4,87.0,68.9,72.3,70.6,Bachelors
S1001,Female,10A,17.5,75.7,89.1,81.0,94.9,High School
