student_id,gender,class,study_hours_per_week,attendance_percent,math_score,science_score,english_score,parent_education,total_score,average_score,grade,performance_category,result,at_risk
S1242,Female,10B,10.2,79.2,62.0,55.1,58.2,High School,175.3,58.43,D,Needs Improvement,Pass,False
S1243,Male,10A,14.4,83.9,80.7,73.5,73.9,High School,228.1,76.03,B,Average,Pass,False
S1244,Male,10C,3.2,83.9,48.1,47.2,44.9,Bachelors,140.20000000000002,46.73,D,Needs Improvement,Pass,False
S1245,Female,10B,16.1,85.1,67.6,70.3,67.3,Bachelors,205.2,68.4,C,Average,Pass,False
S1246,Male,10C,9.4,99.4,62.1,59.3,47.7,Bachelors,169.10000000000002,56.37,D,Needs Improvement,Pass,False
S1247,Male,10C,8.3,85.4,66.7,65.0,72.1,Bachelors,203.79999999999998,67.93,C,Average,Pass,False
S1248,Male,10A,6.0,77.1,41.0,53.4,43.4,High School,137.8,45.93,D,Needs Improvement,Pass,False
S1249,Male,10B,3.4,91.6,38.5,48.3,44.6,High School,131.4,43.8,D,Needs Improvement,Pass,False
S1250,Female,10D,13.3,94.3,63.9,64.5,69.0,High School,197.4,65.8,C,Average,Pass,False
S1251,Male,10A,10.3,65.3,57.6,60.9,49.1,Bachelors,167.6,55.87,D,Needs Improvement,Pass,False
S1252,Female,10B,4.8,87.2,55.9,57.2,66.2,High School,179.3,59.77,D,Needs Improvement,Pass,False
S1253,Male,10B,4.8,88.4,30.0,41.2,37.2,High School,108.4,36.13,F,Needs Improvement,Fail,False
S1254,Male,10B,8.7,76.4,53.5,63.4,57.6,Bachelors,174.5,58.17,D,Needs Improvement,Pass,False
S1255,Male,10B,16.7,96.5,92.0,90.3,78.9,Masters,261.20000000000005,87.07,B,Excellent,Pass,False
S1256,Male,10B,9.0,78.2,54.2,48.1,52.5,High School,154.8,51.6,D,Needs Improvement,Pass,False
S1257,Female,10C,4.0,81.5,47.7,42.3,42.6,Bachelors,132.6,44.2,D,Needs Improvement,Pass,False
S1258,Female,10A,9.0,77.9,43.8,38.6,47.8,Bachelors,130.2,43.4,D,Needs Improvement,Pass,False
S1259,Male,10C,8.9,80.2,66.7,53.0,60.6,Masters,180.3,60.1,C,Average,Pass,False
S1260,Male,10D,0.0,66.8,15.6,23.0,21.0,PhD,59.6,19.87,F,Needs Improvement,Fail,True
S1261,Female,10B,9.8,62.7,52.5,49.0,53.2,High School,154.7,51.57,D,Needs Improvement,Pass,False
S1262,Male,10A,9.1,99.1,71.3,72.0,71.2,High School,214.5,71.5,C,Average,Pass,False
S1263,Male,10B,12.8,69.8,70.8,86.1,75.3,Masters,232.2,77.4,B,Average,Pass,False
S1264,Male,10A,17.4,68.1,74.3,69.9,80.4,Bachelors,224.6,74.87,C,Average,Pass,False
S1265,Female,10C,14.5,54.2,70.5,69.7,58.3,Bachelors,198.5,66.17,C,Average,Pass,False
S1266,Female,10A,8.9,72.3,52.9,55.8,35.3,Bachelors,144.0,48.0,D,Needs Improvement,Pass,False
S1267,Female,10D,5.6,64.1,38.2,43.0,34.6,Bachelors,115.80000000000001,38.6,F,Needs Improvement,Fail,True
S1268,Male,10D,20.0,99.7,85.0,88.6,86.4,PhD,260.0,86.67,B,Excellent,Pass,False
S1269,Male,10A,10.2,92.1,56.3,65.1,50.2,PhD,171.6,57.2,D,Needs Improvement,Pass,False
S1270,Female,10A,10.1,71.7,53.0,48.7,47.9,Masters,149.6,49.87,D,Needs Improvement,Pass,False
S1271,Female,10A,9.9,100.0,73.4,80.6,75.9,High School,229.9,76.63,B,Average,Pass,False
S1272,Female,10A,10.8,91.8,63.4,56.7,63.6,Masters,183.7,61.23,C,Average,Pass,False
S1273,Female,10D,9.4,76.1,66.4,66.4,64.9,High School,197.70000000000002,65.9,C,Average,Pass,False
S1274,Male,10B,7.7,50.0,43.1,42.7,46.1,High School,131.9,43.97,D,Needs Improvement,Pass,True
S1275,Female,10A,7.8,100.0,60.0,53.2,61.3,Masters,174.5,58.17,D,Needs Improvement,Pass,False
S1276,Male,10A,9.9,63.3,36.1,36.7,30.3,High School,103.10000000000001,34.37,F,Needs Improvement,Fail,True
S1277,Female,10D,7.8,60.3,45.6,33.1,34.6,High School,113.30000000000001,37.77,F,Needs Improvement,Fail,True
S1278,Male,10D,7.1,92.3,74.5,67.8,58.1,High School,200.4,66.8,C,Average,Pass,False
S1279,Female,10C,10.4,100.0,59.7,57.6,55.3,Masters,172.60000000000002,57.53,D,Needs Improvement,Pass,False
S1280,Female,10A,9.0,96.6,48.3,58.2,50.8,Bachelors,157.3,52.43,D,Needs Improvement,Pass,False
S1281,Female,10C,16.0,86.8,63.1,63.3,71.6,Bachelors,198.0,66.0,C,Average,Pass,False
S1282,Female,10D,0.0,87.1,40.2,44.9,41.0,High School,126.1,42.03,D,Needs Improvement,Pass,False
S1283,Male,10D,14.4,90.2,79.3,80.2,74.0,Masters,233.5,77.83,B,Average,Pass,False
S1284,Female,10B,15.0,89.1,77.2,67.0,65.6,Masters,209.79999999999998,69.93,C,Average,Pass,False
S1285,Male,10A,1.7,83.4,34.2,38.2,38.3,High School,110.7,36.9,F,Needs Improvement,Fail,False
S1286,Male,10C,8.6,81.3,49.0,52.4,43.0,Bachelors,144.4,48.13,D,Needs Improvement,Pass,False
S1287,Male,10D,8.5,79.2,46.5,42.3,50.2,High School,139.0,46.33,D,Needs Improvement,Pass,False
S1288,Male,10D,4.4,71.0,47.3,46.3,46.3,PhD,139.89999999999998,46.63,D,Needs Improvement,Pass,False
S1289,Female,10C,6.9,76.6,57.8,33.5,40.8,Bachelors,132.1,44.03,D,Needs Improvement,Pass,False
S1290,Male,10B,5.6,59.7,38.0,49.7,38.8,PhD,126.5,42.17,D,Needs Improvement,Pass,True
S1291,Male,10D,17.0,78.8,87.3,76.8,83.2,High School,247.3,82.43,B,Average,Pass,False
S1292,Male,10A,13.7,68.1,81.6,70.0,75.3,Masters,226.89999999999998,75.63,B,Average,Pass,False
S1293,Female,10D,15.1,66.8,61.1,59.4,64.1,Masters,184.6,61.53,C,Average,Pass,False
S1294,Female,10A,12.9,82.2,67.2,72.4,74.2,Bachelors,213.8,71.27,C,Average,Pass,False
S1295,Female,10C,5.5,96.7,50.1,50.4,55.4,PhD,155.9,51.97,D,Needs Improvement,Pass,False
S1296,Female,10A,7.9,91.0,47.8,46.9,42.3,Bachelors,137.0,45.67,D,Needs Improvement,Pass,False
S1297,Male,10C,12.0,61.2,65.3,61.5,55.1,High School,181.9,60.63,C,Average,Pass,False
S1298,Male,10A,5.1,68.1,17.3,32.6,25.9,Bachelors,75.80000000000001,25.27,F,Needs Improvement,Fail,True
S1299,Female,10C,12.9,91.3,87.5,80.2,86.3,Masters,254.0,84.67,B,Average,Pass,False
S1300,Male,10A,9.0,68.2,37.5,48.9,38.9,Bachelors,125.30000000000001,41.77,D,Needs Improvement,Pass,True
S1301,Male,10B,8.5,77.3,52.2,44.6,59.1,High School,155.9,51.97,D,Needs Improvement,Pass,False
S1302,Male,10A,12.8,86.6,66.3,73.4,74.3,Bachelors,214.0,71.33,C,Average,Pass,False
S1303,Female,10A,11.8,68.4,58.3,58.5,65.8,High School,182.6,60.87,C,Average,Pass,False
S1304,Female,10B,8.6,81.3,49.1,52.6,56.3,Bachelors,158.0,52.67,D,Needs Improvement,Pass,False
S1305,Male,10D,14.6,64.0,61.1,56.8,62.6,Bachelors,180.5,60.17,C,Average,Pass,False
S1306,Female,10D,5.7,72.8,62.5,50.1,64.0,Masters,176.6,58.87,D,Needs Improvement,Pass,False
S1307,Female,10A,12.5,83.8,45.8,53.2,50.3,High School,149.3,49.77,D,Needs Improvement,Pass,False
S1308,Female,10B,12.4,60.9,57.5,58.4,47.2,Bachelors,163.10000000000002,54.37,D,Needs Improvement,Pass,False
S1309,Female,10A,8.8,85.3,67.7,80.2,60.4,High School,208.3,69.43,C,Average,Pass,False
S1310,Female,10C,11.3,79.8,54.7,58.7,56.4,High School,169.8,56.6,D,Needs Improvement,Pass,False
S1311,Male,10C,5.0,86.6,41.8,33.8,30.4,Masters,106.0,35.33,F,Needs Improvement,Fail,False
S1312,Female,10A,13.7,82.7,67.6,75.2,69.2,Masters,212.0,70.67,C,Average,Pass,False
S1313,Male,10D,9.3,96.4,66.2,71.2,65.9,Bachelors,203.3,67.77,C,Average,Pass,False
S1314,Male,10D,7.9,81.5,66.0,57.5,56.3,Masters,179.8,59.93,D,Needs Improvement,Pass,False
S1315,Female,10A,14.2,74.8,68.2,75.9,71.9,Masters,216.00000000000003,72.0,C,Average,Pass,False
S1316,Male,10A,7.2,81.5,60.0,67.8,57.0,Masters,184.8,61.6,C,Average,Pass,False
S1317,Male,10C,4.4,86.5,46.7,60.6,62.2,High School,169.5,56.5,D,Needs Improvement,Pass,False
S1318,Male,10D,3.8,80.6,39.3,46.5,39.3,PhD,125.1,41.7,D,Needs Improvement,Pass,False
S1319,Female,10A,12.4,80.5,64.1,67.5,57.2,Bachelors,188.8,62.93,C,Average,Pass,False
S1320,Female,10C,4.9,71.6,55.2,47.1,41.6,High School,143.9,47.97,D,Needs Improvement,Pass,False
S1321,Male,10D,17.0,72.0,88.6,86.6,91.5,High School,266.7,88.9,B,Excellent,Pass,False
S1322,Female,10B,1.7,63.2,26.6,26.4,33.9,Bachelors,86.9,28.97,F,Needs Improvement,Fail,True
S1323,Female,10C,16.8,100.0,74.2,83.6,76.9,High School,234.70000000000002,78.23,B,Average,Pass,False
S1324,Female,10D,10.8,65.1,54.4,57.0,69.0,High School,180.4,60.13,C,Average,Pass,False
S1325,Female,10D,9.6,71.7,55.3,60.9,44.6,High School,160.79999999999998,53.6,D,Needs Improvement,Pass,False
S1326,Male,10C,7.8,71.4,36.0,33.7,40.7,Masters,110.4,36.8,F,Needs Improvement,Fail,False
S1327,Male,10B,11.6,90.7,69.3,63.7,81.2,Masters,214.2,71.4,C,Average,Pass,False
S1328,Female,10C,9.8,76.5,48.0,53.0,55.2,High School,156.2,52.07,D,Needs Improvement,Pass,False
S1329,Female,10D,14.4,95.0,74.9,60.7,84.0,Masters,219.60000000000002,73.2,C,Average,Pass,False
S1330,Male,10A,10.5,71.9,55.0,61.4,47.7,Masters,164.10000000000002,54.7,D,Needs Improvement,Pass,False
S1331,Male,10A,10.6,83.3,60.9,66.7,58.2,Masters,185.8,61.93,C,Average,Pass,False
S1332,Female,10C,8.5,70.0,67.5,51.4,50.5,High School,169.4,56.47,D,Needs Improvement,Pass,False
S1333,Male,10D,9.8,100.0,59.5,61.8,65.3,Bachelors,186.6,62.2,C,Average,Pass,False
S1334,Female,10A,11.2,65.7,56.2,70.1,52.1,PhD,178.4,59.47,D,Needs Improvement,Pass,False
S1335,Female,10D,3.2,83.7,35.5,36.4,43.9,Bachelors,115.80000000000001,38.6,F,Needs Improvement,Fail,False
S1336,Male,10C,4.6,87.6,56.9,46.1,60.7,High School,163.7,54.57,D,Needs Improvement,Pass,False
S1337,Male,10A,13.0,85.0,70.3,80.3,75.6,Bachelors,226.2,75.4,B,Average,Pass,False
S1338,Female,10D,10.7,100.0,46.5,62.2,52.1,Bachelors,160.8,53.6,D,Needs Improvement,Pass,False
S1339,Female,10A,9.3,78.4,71.2,63.3,57.4,Bachelors,191.9,63.97,C,Average,Pass,False
S1340,Male,10C,10.1,80.5,61.7,59.2,48.1,High School,169.0,56.33,D,Needs Improvement,Pass,False
S1341,Female,10D,11.4,78.2,62.6,74.3,73.7,High School,210.60000000000002,70.2,C,Average,Pass,False
S1342,Male,10A,7.8,91.6,47.9,54.6,63.8,Masters,166.3,55.43,D,Needs Improvement,Pass,False
S1343,Female,10C,6.9,100.0,78.0,69.0,71.7,Masters,218.7,72.9,C,Average,Pass,False
S1344,Male,10A,10.8,73.3,50.4,61.9,52.0,High School,164.3,54.77,D,Needs Improvement,Pass,False
S1345,Male,10A,6.1,63.6,42.6,48.0,25.7,PhD,116.3,38.77,F,Needs Improvement,Fail,True
S1346,Male,10B,11.6,78.9,48.6,63.8,54.0,High School,166.4,55.47,D,Needs Improvement,Pass,False
S1347,Female,10B,3.2,100.0,50.9,40.3,57.0,Bachelors,148.2,49.4,D,Needs Improvement,Pass,False
S1348,Female,10C,14.1,100.0,62.5,81.7,62.1,Masters,206.29999999999998,68.77,C,Average,Pass,False
S1349,Male,10B,11.9,99.7,61.1,53.5,57.8,Masters,172.39999999999998,57.47,D,Needs Improvement,Pass,False
S1350,Female,10C,11.0,100.0,59.2,57.1,65.1,PhD,181.4,60.47,C,Average,Pass,False
S1351,Male,10B,13.9,73.4,49.8,57.6,48.0,High School,155.4,51.8,D,Needs Improvement,Pass,False
S1352,Male,10A,16.7,86.8,81.6,93.4,85.2,Masters,260.2,86.73,B,Excellent,Pass,False
S1353,Female,10C,14.1,99.5,92.9,93.9,94.4,High School,281.20000000000005,93.73,A,Excellent,Pass,False
S1354,Female,10C,2.6,75.5,36.5,38.4,35.9,Masters,110.80000000000001,36.93,F,Needs Improvement,Fail,False
S1355,Male,10A,4.9,77.6,45.4,44.7,59.1,Masters,149.2,49.73,D,Needs Improvement,Pass,False
S1356,Female,10C,7.5,73.0,60.4,48.8,38.5,Bachelors,147.7,49.23,D,Needs Improvement,Pass,False
S1357,Female,10C,10.1,67.8,52.3,65.0,68.0,High School,185.3,61.77,C,Average,Pass,False
S1358,Male,10B,12.1,72.2,61.4,36.5,50.7,Masters,148.60000000000002,49.53,D,Needs Improvement,Pass,False
S1359,Male,10C,7.1,65.3,46.4,44.0,50.4,High School,140.8,46.93,D,Needs Improvement,Pass,True
S1360,Female,10D,10.7,80.4,61.3,68.2,69.4,High School,198.9,66.3,C,Average,Pass,False
S1361,Male,10A,7.0,70.8,41.8,42.9,45.4,Masters,130.1,43.37,D,Needs Improvement,Pass,False
S1362,Male,10B,7.6,82.8,52.5,56.0,55.0,Bachelors,163.5,54.5,D,Needs Improvement,Pass,False
S1363,Female,10B,4.4,61.3,49.1,42.3,32.4,Masters,123.80000000000001,41.27,D,Needs Improvement,Pass,True
S1364,Male,10D,6.3,84.0,27.0,38.3,31.3,Bachelors,96.6,32.2,F,Needs Improvement,Fail,False
S1365,Male,10A,4.6,90.0,62.0,62.4,54.7,High School,179.10000000000002,59.7,D,Needs Improvement,Pass,False
S1366,Female,10A,6.1,56.1,23.8,29.7,36.3,Masters,89.8,29.93,F,Needs Improvement,Fail,True
S1367,Female,10B,14.2,84.5,54.6,53.7,61.0,Bachelors,169.3,56.43,D,Needs Improvement,Pass,False
S1368,Male,10C,6.2,94.7,50.0,57.0,59.7,High School,166.7,55.57,D,Needs Improvement,Pass,False
S1369,Male,10B,20.0,65.5,89.4,84.5,88.1,Masters,262.0,87.33,B,Excellent,Pass,False
S1370,Female,10A,12.0,100.0,74.2,70.1,63.6,Bachelors,207.9,69.3,C,Average,Pass,False
S1371,Female,10D,10.7,85.0,65.8,63.8,64.1,Bachelors,193.7,64.57,C,Average,Pass,False
S1372,Female,10B,6.6,71.5,42.4,51.2,65.1,Bachelors,158.7,52.9,D,Needs Improvement,Pass,False
S1373,Female,10A,12.8,79.3,75.4,78.0,82.9,Masters,236.3,78.77,B,Average,Pass,False
S1374,Male,10B,7.7,86.7,69.7,70.8,65.6,Masters,206.1,68.7,C,Average,Pass,False
S1375,Female,10C,10.5,80.9,67.0,59.7,64.8,Masters,191.5,63.83,C,Average,Pass,False
S1376,Female,10B,20.0,86.5,92.6,90.6,79.8,High School,263.0,87.67,B,Excellent,Pass,False
S1377,Male,10B,9.6,69.0,32.4,35.0,45.8,Masters,113.2,37.73,F,Needs Improvement,Fail,True
S1378,Female,10A,14.6,82.0,71.4,68.9,71.3,Bachelors,211.60000000000002,70.53,C,Average,Pass,False
S1379,Male,10A,7.2,63.0,43.6,41.4,48.1,Bachelors,133.1,44.37,D,Needs Improvement,Pass,True
S1380,Female,10A,9.9,78.7,62.9,73.4,68.3,Bachelors,204.60000000000002,68.2,C,Average,Pass,False
S1381,Female,10B,17.1,69.2,70.9,71.8,66.8,Masters,209.5,69.83,C,Average,Pass,False
S1382,Female,10C,7.5,71.2,45.2,45.1,49.6,Masters,139.9,46.63,D,Needs Improvement,Pass,False
S1383,Male,10D,17.2,94.8,84.8,84.2,89.2,High School,258.2,86.07,B,Excellent,Pass,False
S1384,Male,10D,12.8,93.1,71.7,68.4,68.3,Bachelors,208.40000000000003,69.47,C,Average,Pass,False
S1385,Female,10A,7.8,87.3,65.1,63.5,62.7,Masters,191.3,63.77,C,Average,Pass,False
S1386,Male,10A,12.5,66.9,49.0,52.0,58.3,High School,159.3,53.1,D,Needs Improvement,Pass,False
S1387,Male,10B,13.9,76.2,67.0,57.5,71.1,PhD,195.6,65.2,C,Average,Pass,False
S1388,Male,10D,12.5,94.6,56.6,60.2,57.7,Bachelors,174.5,58.17,D,Needs Improvement,Pass,False
S1389,Male,10A,3.7,81.7,24.9,29.7,39.5,Bachelors,94.1,31.37,F,Needs Improvement,Fail,False
S1390,Male,10C,7.1,100.0,56.9,51.3,59.9,High School,168.1,56.03,D,Needs Improvement,Pass,False
S1391,Male,10C,9.0,84.7,49.2,54.6,56.9,High School,160.70000000000002,53.57,D,Needs Improvement,Pass,False
S1392,Female,10A,9.7,82.3,57.7,53.4,54.2,PhD,165.3,55.1,D,Needs Improvement,Pass,False
S1393,Female,10A,12.5,76.3,59.0,59.1,59.6,High School,177.7,59.23,D,Needs Improvement,Pass,False
S1394,Male,10D,10.7,81.6,37.8,53.4,43.0,Masters,134.2,44.73,D,Needs Improvement,Pass,False
S1395,Female,10D,4.7,78.2,38.3,38.5,42.5,Bachelors,119.3,39.77,F,Needs Improvement,Fail,False
S1396,Female,10B,11.5,88.5,59.3,44.9,39.2,High School,143.39999999999998,47.8,D,Needs Improvement,Pass,False
S1397,Female,10D,12.4,91.5,67.8,67.4,78.9,High School,214.1,71.37,C,Average,Pass,False
S1398,Female,10C,12.2,70.6,56.6,56.5,50.0,Bachelors,163.1,54.37,D,Needs Improvement,Pass,False
S1399,Male,10C,14.3,64.0,52.5,47.6,58.7,PhD,158.8,52.93,D,Needs Improvement,Pass,False
S1400,Female,10A,13.3,58.0,58.7,49.4,52.0,Bachelors,160.1,53.37,D,Needs Improvement,Pass,False
S1401,Female,10D,11.8,86.1,56.4,50.1,56.7,Bachelors,163.2,54.4,D,Needs Improvement,Pass,False
S1402,Male,10B,9.7,66.8,49.9,50.8,49.8,High School,150.5,50.17,D,Needs Improvement,Pass,False
S1403,Male,10C,3.4,54.2,49.4,42.0,39.2,Bachelors,130.60000000000002,43.53,D,Needs Improvement,Pass,True
S1404,Female,10C,11.7,84.7,58.6,51.7,56.6,Bachelors,166.9,55.63,D,Needs Improvement,Pass,False
S1405,Female,10B,10.8,100.0,73.8,64.6,53.0,Masters,191.39999999999998,63.8,C,Average,Pass,False
S1406,Female,10B,11.1,79.9,58.9,56.0,66.1,Bachelors,181.0,60.33,C,Average,Pass,False
S1407,Female,10C,4.9,90.1,48.8,48.1,55.7,Bachelors,152.60000000000002,50.87,D,Needs Improvement,Pass,False
S1408,Female,10C,5.7,81.0,43.4,48.2,41.1,High School,132.7,44.23,D,Needs Improvement,Pass,False
S1409,Female,10B,14.2,78.8,64.1,55.9,54.6,PhD,174.6,58.2,D,Needs Improvement,Pass,False
S1410,Male,10C,9.8,91.0,60.9,61.8,68.4,High School,191.1,63.7,C,Average,Pass,False
S1411,Female,10A,12.7,76.5,64.4,45.3,50.3,High School,160.0,53.33,D,Needs Improvement,Pass,False
S1412,Female,10A,10.1,83.2,71.0,65.0,60.2,Bachelors,196.2,65.4,C,Average,Pass,False
S1413,Male,10B,10.1,83.9,50.0,60.8,65.8,Bachelors,176.6,58.87,D,Needs Improvement,Pass,False
S1414,Male,10D,13.8,72.0,84.8,79.6,80.5,Bachelors,244.89999999999998,81.63,B,Average,Pass,False
S1415,Male,10B,7.9,91.9,50.0,72.2,50.4,Bachelors,172.6,57.53,D,Needs Improvement,Pass,False
S1416,Male,10B,10.4,77.9,49.2,53.6,52.8,Masters,155.60000000000002,51.87,D,Needs Improvement,Pass,False
S1417,Female,10D,8.2,70.9,38.3,30.7,30.6,High School,99.6,33.2,F,Needs Improvement,Fail,False
S1418,Female,10D,8.3,86.4,52.9,40.3,47.5,Masters,140.7,46.9,D,Needs Improvement,Pass,False
S1419,Female,10D,8.8,69.2,55.7,26.3,43.4,Bachelors,125.4,41.8,D,Needs Improvement,Pass,True
S1420,Female,10A,10.9,80.3,65.1,61.0,64.7,Bachelors,190.8,63.6,C,Average,Pass,False
S1421,Female,10C,8.1,79.9,55.2,51.3,58.4,Bachelors,164.9,54.97,D,Needs Improvement,Pass,False
S1422,Female,10A,15.0,93.0,65.3,67.5,72.6,High School,205.4,68.47,C,Average,Pass,False
S1423,Male,10C,6.4,85.7,62.8,54.1,57.4,Masters,174.3,58.1,D,Needs Improvement,Pass,False
S1424,Female,10A,9.3,79.7,49.3,50.6,44.2,Bachelors,144.10000000000002,48.03,D,Needs Improvement,Pass,False
S1425,Male,10C,8.2,89.8,68.4,53.8,60.3,High School,182.5,60.83,C,Average,Pass,False
S1426,Male,10A,15.8,96.7,92.5,100.0,100.0,Bachelors,292.5,97.5,A,Excellent,Pass,False
S1427,Female,10D,10.8,86.7,71.8,66.9,62.8,PhD,201.5,67.17,C,Average,Pass,False
S1428,Male,10B,14.1,80.1,69.1,76.1,63.0,Bachelors,208.2,69.4,C,Average,Pass,False
S1429,Female,10A,4.1,64.3,31.4,33.7,31.3,PhD,96.39999999999999,32.13,F,Needs Improvement,Fail,True
S1430,Male,10C,11.1,67.2,42.4,40.3,37.1,High School,119.79999999999998,39.93,F,Needs Improvement,Fail,True
S1431,Female,10D,13.6,76.3,55.1,61.0,52.9,High School,169.0,56.33,D,Needs Improvement,Pass,False
S1432,Male,10A,10.3,72.7,49.8,55.5,59.9,High School,165.2,55.07,D,Needs Improvement,Pass,False
S1433,Female,10A,14.3,77.8,52.4,47.4,72.9,Bachelors,172.7,57.57,D,Needs Improvement,Pass,False
S1434,Female,10D,7.9,80.7,53.6,49.3,52.2,High School,155.10000000000002,51.7,D,Needs Improvement,Pass,False
S1435,Female,10A,15.6,86.4,78.8,79.2,68.8,High School,226.8,75.6,B,Average,Pass,False
S1436,Female,10B,19.2,79.2,80.6,77.6,68.6,Masters,226.79999999999998,75.6,B,Average,Pass,False
S1437,Female,10A,8.5,85.8,60.4,41.9,51.9,Masters,154.2,51.4,D,Needs Improvement,Pass,False
S1438,Male,10B,8.2,80.8,54.1,53.9,60.8,Masters,168.8,56.27,D,Needs Improvement,Pass,False
S1439,Male,10B,15.8,56.3,69.6,75.8,68.4,High School,213.79999999999998,71.27,C,Average,Pass,False
S1440,Male,10D,16.3,68.7,53.0,67.0,59.5,High School,179.5,59.83,D,Needs Improvement,Pass,False
S1441,Female,10A,7.9,78.3,60.0,62.0,58.8,High School,180.8,60.27,C,Average,Pass,False
S1442,Male,10D,8.3,65.5,50.3,51.9,39.6,Masters,141.79999999999998,47.27,D,Needs Improvement,Pass,True
S1443,Female,10A,8.9,87.2,62.4,55.1,62.3,PhD,179.8,59.93,D,Needs Improvement,Pass,False
S1444,Female,10A,4.6,98.4,54.8,46.3,62.0,Bachelors,163.1,54.37,D,Needs Improvement,Pass,False
S1445,Male,10C,6.3,94.6,55.0,49.9,46.2,High School,151.10000000000002,50.37,D,Needs Improvement,Pass,False
S1446,Male,10A,6.0,77.4,44.5,63.0,63.1,Bachelors,170.6,56.87,D,Needs Improvement,Pass,False
S1447,Female,10D,6.9,97.9,56.6,57.1,62.2,High School,175.9,58.63,D,Needs Improvement,Pass,False
S1448,Male,10B,9.9,81.8,57.9,51.1,61.0,Bachelors,170.0,56.67,D,Needs Improvement,Pass,False
S1449,Female,10A,10.9,76.0,64.0,58.7,52.5,Bachelors,175.2,58.4,D,Needs Improvement,Pass,False
S1450,Female,10C,16.2,72.6,63.4,71.8,52.2,Masters,187.39999999999998,62.47,C,Average,Pass,False
S1451,Female,10D,6.0,76.4,46.7,56.2,45.5,High School,148.4,49.47,D,Needs Improvement,Pass,False
S1452,Female,10A,13.9,75.3,64.6,77.9,67.6,High School,210.1,70.03,C,Average,Pass,False
S1453,Female,10D,9.1,82.0,49.9,52.9,64.7,PhD,167.5,55.83,D,Needs Improvement,Pass,False
S1454,Male,10C,9.8,81.9,60.4,58.0,60.5,High School,178.9,59.63,D,Needs Improvement,Pass,False
S1455,Male,10C,12.7,80.0,51.2,39.6,47.2,High School,138.0,46.0,D,Needs Improvement,Pass,False
S1456,Female,10D,5.5,85.2,46.4,52.3,37.3,High School,136.0,45.33,D,Needs Improvement,Pass,False
S1457,Female,10A,11.5,94.3,64.1,60.2,74.6,High School,198.89999999999998,66.3,C,Average,Pass,False
S1458,Male,10B,10.7,91.4,51.7,65.9,58.8,Bachelors,176.4,58.8,D,Needs Improvement,Pass,False
S1459,Male,10C,12.0,62.2,53.2,40.1,56.4,Masters,149.70000000000002,49.9,D,Needs Improvement,Pass,True
S1460,Female,10A,11.2,49.4,55.0,54.4,56.2,High School,165.60000000000002,55.2,D,Needs Improvement,Pass,False
S1461,Male,10A,19.8,91.2,73.9,74.0,88.6,Bachelors,236.5,78.83,B,Average,Pass,False
S1462,Female,10B,7.4,63.6,55.9,48.0,55.8,Bachelors,159.7,53.23,D,Needs Improvement,Pass,False
S1463,Male,10C,7.9,77.3,51.7,50.9,53.3,Bachelors,155.89999999999998,51.97,D,Needs Improvement,Pass,False
S1464,Female,10C,7.5,66.0,46.3,36.7,36.9,Masters,119.9,39.97,F,Needs Improvement,Fail,True
S1465,Male,10A,7.8,58.4,60.8,62.1,55.0,Masters,177.9,59.3,D,Needs Improvement,Pass,False
S1466,Female,10A,7.5,86.5,47.9,37.2,46.4,High School,131.5,43.83,D,Needs Improvement,Pass,False
S1467,Male,10B,14.8,89.1,71.8,81.3,80.5,Masters,233.6,77.87,B,Average,Pass,False
S1468,Male,10B,15.7,73.1,83.8,83.8,72.9,Bachelors,240.5,80.17,B,Average,Pass,False
S1469,Female,10C,7.7,48.9,35.0,30.4,32.5,PhD,97.9,32.63,F,Needs Improvement,Fail,True
S1470,Male,10D,6.7,73.4,55.0,52.9,57.7,Bachelors,165.60000000000002,55.2,D,Needs Improvement,Pass,False
S1471,Female,10C,11.9,84.7,62.5,60.2,48.9,PhD,171.6,57.2,D,Needs Improvement,Pass,False
S1472,Male,10A,7.8,62.3,36.1,53.8,49.5,Masters,139.4,46.47,D,Needs Improvement,Pass,True
S1473,Female,10C,12.5,82.2,68.7,67.4,60.3,High School,196.40000000000003,65.47,C,Average,Pass,False
S1474,Male,10D,10.8,79.8,51.7,54.7,50.9,Bachelors,157.3,52.43,D,Needs Improvement,Pass,False
S1475,Female,10B,3.9,87.0,42.9,53.9,40.9,PhD,137.7,45.9,D,Needs Improvement,Pass,False
S1476,Male,10D,16.2,81.4,70.3,72.8,68.6,Masters,211.7,70.57,C,Average,Pass,False
S1477,Female,10D,17.2,68.3,63.0,60.4,48.2,High School,171.60000000000002,57.2,D,Needs Improvement,Pass,False
S1478,Male,10D,7.5,94.4,63.2,69.4,62.7,Masters,195.3,65.1,C,Average,Pass,False
S1479,Female,10B,8.4,78.1,48.1,37.1,50.7,High School,135.9,45.3,D,Needs Improvement,Pass,False
S1480,Female,10D,11.1,79.7,64.7,62.9,64.7,High School,192.3,64.1,C,Average,Pass,False
S1481,Female,10D,11.3,68.8,54.5,59.5,65.9,Bachelors,179.9,59.97,D,Needs Improvement,Pass,False
S1482,Male,10D,12.6,74.7,46.0,55.9,55.1,High School,157.0,52.33,D,Needs Improvement,Pass,False
S1483,Female,10A,18.0,69.4,76.9,76.8,70.3,Masters,224.0,74.67,C,Average,Pass,False
